"","id","name","original_price","discount_price","price_change_percentage","discount_level","all_reviews"
"1",7,"Devil May Cry 5",59.99,70.42,17.3862310385064,"Small Price Increase","Very Positive,(9,645),- 92% of the 9,645 user reviews for this game are positive."
"2",38,"Life is Strange 2",7.99,39.95,400,"Huge Price Increase ","Very Positive,(4,437),*,- 86% of the 4,437 user reviews for this game are positive.,This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
"3",76,"Call of Duty®: WWII",1.02,906.48,88770.5882352941,"Huge Price Increase ","Mixed,(12,703),- 54% of the 12,703 user reviews for this game are positive."
"4",95,"Shadow Tactics: Blades of the Shogun",39.99,13.59,-66.0165041260315," Huge Discount","Overwhelmingly Positive,(7,238),- 95% of the 7,238 user reviews for this game are positive."
"5",154,"SCUM",19.99,28.48,42.4712356178089,"Small Price Increase","Mixed,(22,177),- 64% of the 22,177 user reviews for this game are positive."
"6",161,"Shadow of the Tomb Raider",0,89.06,NA,"Huge Price Increase ","Mostly Positive,(9,220),*,- 74% of the 9,220 user reviews for this game are positive.,This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
"7",225,"Rising Storm 2: Vietnam",24.99,216.31,765.586234493798,"Huge Price Increase ","Very Positive,(15,667),- 80% of the 15,667 user reviews for this game are positive."
"8",255,"Pillars of Eternity II: Deadfire",49.99,80.98,61.9923984796959,"Small Price Increase","Very Positive,(3,494),- 81% of the 3,494 user reviews for this game are positive."
"9",272,"Left 4 Dead 2",9.99,14.98,49.94994994995,"Small Price Increase","Overwhelmingly Positive,(156,890),- 96% of the 156,890 user reviews for this game are positive."
"10",281,"RESIDENT EVIL 2 / BIOHAZARD RE:2",59.99,14.93,-75.1125187531255," Huge Discount","Overwhelmingly Positive,(14,492),- 95% of the 14,492 user reviews for this game are positive."
"11",346,"Conan Exiles",39.99,29.96,-25.0812703175794,"Discount","Mixed,(24,605),- 69% of the 24,605 user reviews for this game are positive."
"12",352,"Wolfenstein II: The New Colossus",59.99,29.99,-50.0083347224538," Huge Discount","Mixed,(9,311),- 69% of the 9,311 user reviews for this game are positive."
"13",353,"Kingdom Come: Deliverance",29.99,97.99,226.742247415805,"Huge Price Increase ","Mostly Positive,(27,512),- 74% of the 27,512 user reviews for this game are positive."
"14",362,"Mortal Kombat 11",59.99,79.98,33.3222203700617,"Small Price Increase","Mixed,(6,842),- 59% of the 6,842 user reviews for this game are positive."
"15",387,"Team Fortress 2",0,65.7,NA,"Huge Price Increase ","Very Positive,(553,458),- 93% of the 553,458 user reviews for this game are positive."
"16",392,"Dead by Daylight",19.99,24.48,22.4612306153077,"Small Price Increase","Mostly Positive,(138,492),- 76% of the 138,492 user reviews for this game are positive."
"17",405,"The Elder Scrolls V: Skyrim Special Edition",39.99,23.99,-40.0100025006252,"Discount","Very Positive,(14,443),- 83% of the 14,443 user reviews for this game are positive."
"18",408,"Grand Theft Auto V",29.99,35.18,17.3057685895298,"Small Price Increase","Mostly Positive,(407,706),- 70% of the 407,706 user reviews for this game are positive."
"19",410,"MORDHAU",29.99,39.88,32.9776592197399,"Small Price Increase","Mostly Positive,(18,127),- 73% of the 18,127 user reviews for this game are positive."
"20",411,"The Witcher® 3: Wild Hunt",39.99,11.99,-70.017504376094," Huge Discount","Overwhelmingly Positive,(189,538),- 97% of the 189,538 user reviews for this game are positive."
"21",465,"Sunset Overdrive",19.99,70.37,252.026013006503,"Huge Price Increase ","Very Positive,(2,346),- 89% of the 2,346 user reviews for this game are positive."
"22",511,"South Park™: The Fractured But Whole™",59.99,80.98,34.9891648608101,"Small Price Increase","Mixed,(6,555),- 69% of the 6,555 user reviews for this game are positive."
"23",526,"Outlast",19.99,47.17,135.967983991996,"Huge Price Increase ","Overwhelmingly Positive,(30,216),- 96% of the 30,216 user reviews for this game are positive."
"24",527,"Mafia II",29.99,84.97,183.327775925308,"Huge Price Increase ","Very Positive,(17,680),- 93% of the 17,680 user reviews for this game are positive."
"25",532,"Depth",19.99,40.48,102.501250625313,"Huge Price Increase ","Very Positive,(17,932),- 88% of the 17,932 user reviews for this game are positive."
"26",544,"Metro: Last Light Redux",19.99,29.98,49.9749874937469,"Small Price Increase","Very Positive,(24,840),- 80% of the 24,840 user reviews for this game are positive."
"27",573,"Thea 2: The Shattering",0,35.98,NA,"Huge Price Increase ","Mostly Positive,(416),- 76% of the 416 user reviews for this game are positive."
"28",624,"Unheard",6.99,4.89,-30.0429184549356,"Discount","Very Positive,(5,461),- 94% of the 5,461 user reviews for this game are positive."
"29",628,"Tannenberg",19.99,42.46,112.406203101551,"Huge Price Increase ","Very Positive,(3,344),- 83% of the 3,344 user reviews for this game are positive."
"30",637,"Saints Row IV",14.99,145.74,872.248165443629,"Huge Price Increase ","Very Positive,(42,245),- 91% of the 42,245 user reviews for this game are positive."
"31",673,"Mortal Kombat X",19.99,24.88,24.4622311155578,"Small Price Increase","Mostly Positive,(15,835),- 77% of the 15,835 user reviews for this game are positive."
"32",713,"Saints Row: The Third",9.99,145.74,1358.85885885886,"Huge Price Increase ","Overwhelmingly Positive,(30,568),- 95% of the 30,568 user reviews for this game are positive."
"33",725,"嗜血印 Bloody Spell",19.99,12.99,-35.0175087543772,"Discount","Mostly Positive,(1,187),- 79% of the 1,187 user reviews for this game are positive."
"34",779,"HITMAN™",0,59.11,NA,"Huge Price Increase ","Mostly Positive,(18,350),- 78% of the 18,350 user reviews for this game are positive."
"35",795,"Headliner: NoviNews",13.99,15.28,9.22087205146533,"Small Price Increase","Very Positive,(67),- 91% of the 67 user reviews for this game are positive."
"36",812,"Left 4 Dead",9.99,14.98,49.94994994995,"Small Price Increase","Very Positive,(13,811),- 94% of the 13,811 user reviews for this game are positive."
"37",864,"Verdun",19.99,42.46,112.406203101551,"Huge Price Increase ","Very Positive,(20,861),- 84% of the 20,861 user reviews for this game are positive."
"38",901,"Bulletstorm: Full Clip Edition",39.99,40.48,1.22530632658163,"Small Price Increase","Very Positive,(1,447),- 83% of the 1,447 user reviews for this game are positive."
"39",914,"Beholder 2",14.99,23.17,54.5697131420947,"Small Price Increase","Very Positive,(1,078),- 83% of the 1,078 user reviews for this game are positive."
"40",919,"Labyrinth of Refrain: Coven of Dusk / ルフランの地下迷宮と魔女ノ旅団",49.99,103.36,106.761352270454,"Huge Price Increase ","Mostly Positive,(208),- 79% of the 208 user reviews for this game are positive."
"41",965,"Bladed Fury",9.99,6.99,-30.03003003003,"Discount","Very Positive,(1,288),- 84% of the 1,288 user reviews for this game are positive."
"42",1093,"Bad North",14.99,19.78,31.9546364242829,"Small Price Increase","Mostly Positive,(842),- 78% of the 842 user reviews for this game are positive."
"43",1108,"Outlast 2",29.99,47.17,57.2857619206402,"Small Price Increase","Very Positive,(10,762),- 87% of the 10,762 user reviews for this game are positive."
"44",1135,"Darksiders III",59.99,99.86,66.461076846141,"Small Price Increase","Mixed,(3,054),- 69% of the 3,054 user reviews for this game are positive."
"45",1163,"God's Trigger",14.99,11.24,-25.0166777851901,"Discount","Very Positive,(136),- 83% of the 136 user reviews for this game are positive."
"46",1233,"HALF DEAD 2",4.99,5.58,11.8236472945892,"Small Price Increase","Very Positive,(420),- 84% of the 420 user reviews for this game are positive."
"47",1245,"Fallen ~Makina and the City of Ruins~",264.82,231.57,-12.555698210105,"Discount","Very Positive,(688),- 84% of the 688 user reviews for this game are positive."
"48",1303,"Mr.President!",9.99,4.99,-50.0500500500501," Huge Discount","Mostly Positive,(2,009),- 75% of the 2,009 user reviews for this game are positive."
"49",1346,"Lucius",24.99,2.49,-90.0360144057623," Huge Discount","Mostly Positive,(4,696),- 79% of the 4,696 user reviews for this game are positive."
"50",1386,"Killing Floor: Incursion",19.99,216.31,982.091045522761,"Huge Price Increase ","Mixed,(288),- 62% of the 288 user reviews for this game are positive."
"51",1532,"We Happy Few",59.99,87.97,46.6411068511418,"Small Price Increase","Mixed,(3,648),- 69% of the 3,648 user reviews for this game are positive."
"52",1574,"Two Worlds II HD",19.99,55.97,179.989994997499,"Huge Price Increase ","Mixed,(3,001),- 57% of the 3,001 user reviews for this game are positive."
"53",1600,"Phantom Doctrine",39.99,45.98,14.9787446861715,"Small Price Increase","Mostly Positive,(1,441),- 72% of the 1,441 user reviews for this game are positive."
"54",1624,"Lorelai",14.99,50.13,234.422948632422,"Huge Price Increase ","Very Positive,(284),- 84% of the 284 user reviews for this game are positive."
"55",1752,"Beholder",9.99,23.17,131.931931931932,"Huge Price Increase ","Very Positive,(9,505),- 90% of the 9,505 user reviews for this game are positive."
"56",1753,"If My Heart Had Wings",14.99,41.37,175.983989326217,"Huge Price Increase ","Very Positive,(2,638),- 92% of the 2,638 user reviews for this game are positive."
"57",1765,"The Caligula Effect: Overdose",49.99,79.04,58.1116223244649,"Small Price Increase","Very Positive,(80),- 81% of the 80 user reviews for this game are positive."
"58",1768,"This Is the Police 2",14.99,26.98,79.9866577718479,"Small Price Increase","Mostly Positive,(2,214),- 75% of the 2,214 user reviews for this game are positive."
"59",1878,"This Is the Police",14.99,26.98,79.9866577718479,"Small Price Increase","Very Positive,(5,379),- 83% of the 5,379 user reviews for this game are positive."
"60",1894,"Witch Hunt",9.99,19.77,97.8978978978979,"Small Price Increase","Very Positive,(824),- 88% of the 824 user reviews for this game are positive."
"61",2042,">observer_",29.99,39.6,32.0440146715572,"Small Price Increase","Very Positive,(2,277),- 82% of the 2,277 user reviews for this game are positive."
"62",2805,"Do Not Feed the Monkeys",11.99,46.14,284.820683903253,"Huge Price Increase ","Very Positive,(1,361),- 92% of the 1,361 user reviews for this game are positive."
"63",2811,"Survivalist",4.99,0.99,-80.1603206412826," Huge Discount","Very Positive,(1,725),- 80% of the 1,725 user reviews for this game are positive."
"64",2852,"Homefront®: The Revolution",29.99,59.04,96.865621873958,"Small Price Increase","Mixed,(7,065),- 58% of the 7,065 user reviews for this game are positive."
"65",2897,"Will To Live Online",11.99,10.19,-15.0125104253545,"Discount","Mostly Positive,(1,277),- 70% of the 1,277 user reviews for this game are positive."
"66",3140,"Zeliria Sanctuary",9.99,10.21,2.20220220220221,"Small Price Increase","Very Positive,(213),- 84% of the 213 user reviews for this game are positive."
"67",3323,"Party Hard 2",19.99,33.22,66.1830915457729,"Small Price Increase","Very Positive,(564),- 80% of the 564 user reviews for this game are positive."
"68",3705,"The Cat Lady",9.99,51.94,419.91991991992,"Huge Price Increase ","Very Positive,(2,544),- 92% of the 2,544 user reviews for this game are positive."
"69",3848,"Lucius III",65.93,54.76,-16.9422114363719,"Discount","Mixed,(248),- 51% of the 248 user reviews for this game are positive."
"70",3849,"Lucius II",24.99,2.49,-90.0360144057623," Huge Discount","Mixed,(1,095),- 59% of the 1,095 user reviews for this game are positive."
"71",3938,"Seed of Evil",264.82,231.57,-12.555698210105,"Discount","Mostly Positive,(174),- 77% of the 174 user reviews for this game are positive."
"72",4207,"Just Cause 4",59.99,69.82,16.3860643440573,"Small Price Increase","Mostly Negative,(4,015),- 38% of the 4,015 user reviews for this game are positive."
"73",4558,"Lust for Darkness",14.99,20.98,39.9599733155437,"Small Price Increase","Mixed,(869),- 69% of the 869 user reviews for this game are positive."
"74",4713,"Planes, Bullets and Vodka",14.85,6.85,-53.8720538720539," Huge Discount","Very Positive,(598),- 86% of the 598 user reviews for this game are positive."
"75",4910,"Friday the 13th: Killer Puzzle",0,14.88,NA,"Huge Price Increase ","Very Positive,(3,185),- 93% of the 3,185 user reviews for this game are positive."
"76",6498,"Hentai 3018",0.99,4.48,352.525252525253,"Huge Price Increase ","Mostly Positive,(108),- 78% of the 108 user reviews for this game are positive."
"77",7150,"Zeno Clash",9.99,59.94,500,"Huge Price Increase ","Very Positive,(1,462),- 87% of the 1,462 user reviews for this game are positive."
"78",8350,"Hentai Memory",0.99,2.67,169.69696969697,"Huge Price Increase ","Very Positive,(598),- 90% of the 598 user reviews for this game are positive."
"79",9166,"D4: Dark Dreams Don’t Die -Season One-",14.99,320.28,2036.62441627752,"Huge Price Increase ","Very Positive,(1,425),- 80% of the 1,425 user reviews for this game are positive."
"80",21434,"灵魂筹码 Soul at Stake",17.99,12.58,-30.0722623679822,"Discount","Mostly Positive,(3,875),- 75% of the 3,875 user reviews for this game are positive."
"81",27134,"Borderlands Game of the Year Enhanced",29.99,20.09,-33.0110036678893,"Discount","Mixed,(1,643),- 64% of the 1,643 user reviews for this game are positive."
